import time: self [us] | cumulative | imported package
import time:       142 |        142 |   _io
import time:        34 |         34 |   marshal
import time:       323 |        323 |   posix
import time:       309 |        806 | _frozen_importlib_external
import time:       100 |        100 |   time
import time:       104 |        203 | zipimport
import time:       124 |        124 |     _codecs
import time:       283 |        406 |   codecs
import time:       384 |        384 |   encodings.aliases
import time:       636 |       1425 | encodings
import time:       226 |        226 | encodings.utf_8
import time:       128 |        128 | _signal
import time:        32 |         32 |     _abc
import time:       113 |        144 |   abc
import time:       150 |        293 | io
import time:        45 |         45 |       _stat
import time:        63 |        108 |     stat
import time:       755 |        755 |     _collections_abc
import time:        33 |         33 |       genericpath
import time:        56 |         89 |     posixpath
import time:       343 |       1293 |   os
import time:        67 |         67 |   _sitebuiltins
import time:       343 |        343 |   _virtualenv
import time:        72 |         72 |   sitecustomize
import time:       609 |       2382 | site
import time:       335 |        335 |   warnings
import time:       385 |        385 |       types
import time:        69 |         69 |         _operator
import time:       290 |        358 |       operator
import time:        90 |         90 |           itertools
import time:       145 |        145 |           keyword
import time:       191 |        191 |           reprlib
import time:        57 |         57 |           _collections
import time:      1008 |       1488 |         collections
import time:        56 |         56 |         _functools
import time:       558 |       2101 |       functools
import time:      1451 |       4293 |     enum
import time:        64 |         64 |       _sre
import time:       330 |        330 |         re._constants
import time:      1119 |       1449 |       re._parser
import time:       128 |        128 |       re._casefix
import time:       347 |       1987 |     re._compiler
import time:       228 |        228 |     copyreg
import time:       510 |       7017 |   re
import time:       269 |        269 |     _weakrefset
import time:       738 |       1006 |   threading
import time:       183 |        183 |     collections.abc
import time:       574 |        574 |     contextlib
import time:        43 |         43 |     _typing
import time:      2663 |       3462 |   typing
import time:       206 |        206 |       litellm.llms
import time:       170 |        376 |     litellm.llms.custom_httpx
import time:       144 |        144 |           concurrent
import time:       189 |        189 |                     token
import time:      1143 |       1332 |                   tokenize
import time:       173 |       1504 |                 linecache
import time:      1074 |       1074 |                 textwrap
import time:       524 |       3102 |               traceback
import time:       549 |        549 |               weakref
import time:        37 |         37 |                 _string
import time:       579 |        616 |               string
import time:        47 |         47 |               atexit
import time:      1773 |       6084 |             logging
import time:       731 |       6815 |           concurrent.futures._base
import time:       192 |       7150 |         concurrent.futures
import time:        66 |         66 |         errno
import time:        45 |         45 |           _heapq
import time:       215 |        259 |         heapq
import time:       165 |        165 |           _socket
import time:        65 |         65 |             math
import time:        44 |         44 |             select
import time:       545 |        652 |           selectors
import time:       108 |        108 |           array
import time:      1493 |       2417 |         socket
import time:        80 |         80 |             _locale
import time:       853 |        932 |           locale
import time:       714 |        714 |           signal
import time:        57 |         57 |           fcntl
import time:        80 |         80 |           msvcrt
import time:        27 |         27 |           _posixsubprocess
import time:       647 |       2455 |         subprocess
import time:      1702 |       1702 |           _ssl
import time:       106 |        106 |               _struct
import time:       149 |        255 |             struct
import time:        62 |         62 |             binascii
import time:       384 |        700 |           base64
import time:      2926 |       5327 |         ssl
import time:       286 |        286 |         asyncio.constants
import time:      1039 |       1039 |               _ast
import time:      1085 |       2123 |             ast
import time:        40 |         40 |                 _opcode
import time:       412 |        451 |               opcode
import time:       873 |       1324 |             dis
import time:       193 |        193 |               importlib
import time:        72 |        265 |             importlib.machinery
import time:      1884 |       5593 |           inspect
import time:       162 |       5755 |         asyncio.coroutines
import time:        40 |         40 |             _contextvars
import time:       150 |        189 |           contextvars
import time:       172 |        172 |           asyncio.format_helpers
import time:       157 |        157 |             asyncio.base_futures
import time:       207 |        207 |             asyncio.exceptions
import time:       146 |        146 |             asyncio.base_tasks
import time:       124 |        631 |           _asyncio
import time:       630 |       1621 |         asyncio.events
import time:       249 |        249 |         asyncio.futures
import time:       239 |        239 |         asyncio.protocols
import time:       272 |        272 |           asyncio.transports
import time:       133 |        133 |           asyncio.log
import time:       752 |       1157 |         asyncio.sslproto
import time:       133 |        133 |             asyncio.mixins
import time:       455 |        455 |             asyncio.tasks
import time:       488 |       1076 |           asyncio.locks
import time:       360 |       1435 |         asyncio.staggered
import time:       177 |        177 |         asyncio.trsock
import time:       819 |      29406 |       asyncio.base_events
import time:       317 |        317 |       asyncio.runners
import time:       262 |        262 |       asyncio.queues
import time:       482 |        482 |       asyncio.streams
import time:       236 |        236 |       asyncio.subprocess
import time:       170 |        170 |       asyncio.taskgroups
import time:       433 |        433 |       asyncio.timeouts
import time:       127 |        127 |       asyncio.threads
import time:       259 |        259 |         asyncio.base_subprocess
import time:       575 |        575 |         asyncio.selector_events
import time:       660 |       1492 |       asyncio.unix_events
import time:       285 |      33205 |     asyncio
import time:       166 |        166 |       httpx.__version__
import time:       176 |        176 |         __future__
import time:       109 |        109 |             _datetime
import time:       997 |       1105 |           datetime
import time:       798 |        798 |               _hashlib
import time:        50 |         50 |               _blake2
import time:       822 |       1669 |             hashlib
import time:       154 |        154 |               urllib
import time:        33 |         33 |                 _bisect
import time:       159 |        191 |               bisect
import time:       156 |        156 |               email
import time:       638 |        638 |                 http
import time:       441 |        441 |                     email.errors
import time:       260 |        260 |                         email.quoprimime
import time:       137 |        137 |                         email.base64mime
import time:       167 |        167 |                             quopri
import time:       152 |        318 |                           email.encoders
import time:       282 |        600 |                         email.charset
import time:       641 |       1637 |                       email.header
import time:        41 |         41 |                           _random
import time:        38 |         38 |                           _sha512
import time:       398 |        475 |                         random
import time:      1412 |       1412 |                           ipaddress
import time:       954 |       2366 |                         urllib.parse
import time:       580 |        580 |                           calendar
import time:       290 |        869 |                         email._parseaddr
import time:       500 |       4210 |                       email.utils
import time:       341 |       6187 |                     email._policybase
import time:       529 |       7156 |                   email.feedparser
import time:       376 |       7531 |                 email.parser
import time:       299 |        299 |                   email._encoded_words
import time:       144 |        144 |                   email.iterators
import time:       617 |       1060 |                 email.message
import time:       950 |      10177 |               http.client
import time:       170 |        170 |                   fnmatch
import time:        84 |         84 |                   zlib
import time:       322 |        322 |                     _compression
import time:        39 |         39 |                     _bz2
import time:       241 |        601 |                   bz2
import time:        87 |         87 |                     _lzma
import time:       248 |        334 |                   lzma
import time:       650 |       1837 |                 shutil
import time:       446 |       2282 |               tempfile
import time:       194 |        194 |                 urllib.response
import time:       207 |        401 |               urllib.error
import time:      1605 |      14962 |             urllib.request
import time:       565 |        565 |             httpx._exceptions
import time:        52 |         52 |                     _json
import time:       346 |        397 |                   json.scanner
import time:       413 |        810 |                 json.decoder
import time:       422 |        422 |                 json.encoder
import time:       234 |       1465 |               json
import time:        95 |         95 |                       org
import time:        16 |        110 |                     org.python
import time:        14 |        124 |                   org.python.core
import time:       215 |        339 |                 copy
import time:      3539 |       3877 |               http.cookiejar
import time:        77 |         77 |                     _winapi
import time:        62 |         62 |                     winreg
import time:       304 |        443 |                   mimetypes
import time:        75 |         75 |                       _winapi
import time:        62 |         62 |                       nt
import time:        66 |         66 |                       nt
import time:        58 |         58 |                       nt
import time:        57 |         57 |                       nt
import time:        64 |         64 |                       nt
import time:        90 |        469 |                     ntpath
import time:       821 |       1289 |                   pathlib
import time:      1195 |       1195 |                   httpx._types
import time:       199 |        199 |                   httpx._utils
import time:       589 |       3713 |                 httpx._multipart
import time:       293 |       4006 |               httpx._content
import time:        77 |         77 |                 brotli
import time:        64 |         64 |                 brotlicffi
import time:        61 |         61 |                 zstandard
import time:       322 |        522 |               httpx._decoders
import time:      1049 |       1049 |               httpx._status_codes
import time:        62 |         62 |                     unicodedata
import time:       736 |        736 |                     idna.idnadata
import time:       288 |        288 |                     idna.intranges
import time:       691 |       1775 |                   idna.core
import time:       113 |        113 |                   idna.package_data
import time:       205 |       2092 |                 idna
import time:      1490 |       1490 |                 httpx._urlparse
import time:       404 |       3985 |               httpx._urls
import time:       873 |      15773 |             httpx._models
import time:       590 |      33558 |           httpx._auth
import time:       255 |        255 |           httpx._config
import time:       220 |        220 |                 httpx._transports.base
import time:       480 |        700 |               httpx._transports.asgi
import time:       405 |        405 |               httpx._transports.default
import time:       219 |        219 |               httpx._transports.mock
import time:       198 |        198 |               httpx._transports.wsgi
import time:       167 |       1686 |             httpx._transports
import time:        18 |       1704 |           httpx._transports.base
import time:      1572 |      38191 |         httpx._client
import time:       191 |      38557 |       httpx._api
import time:       748 |        748 |             gettext
import time:       749 |        749 |               click._compat
import time:       209 |        209 |                 click.globals
import time:       538 |        538 |                 click.utils
import time:       606 |       1352 |               click.exceptions
import time:      1011 |       3111 |             click.types
import time:       606 |        606 |               click.parser
import time:       356 |        962 |             click.formatting
import time:       664 |        664 |             click.termui
import time:      2631 |       8115 |           click.core
import time:       775 |        775 |           click.decorators
import time:       311 |       9200 |         click
import time:        91 |         91 |           pygments
import time:        17 |        108 |         pygments.lexers
import time:       260 |       9566 |       httpx._main
import time:       362 |      48649 |     httpx
import time:       275 |        275 |     litellm.constants
import time:        87 |         87 |       litellm.litellm_core_utils
import time:       250 |        250 |       litellm._logging
import time:        80 |         80 |         litellm.types
import time:      1837 |       1837 |           platform
import time:        41 |         41 |           _uuid
import time:       444 |       2321 |         uuid
